Waktu,Ketinggian (m),Jenis
2025-05-07 03:30:00,-0.37,Surut
2025-05-07 08:40:00,-0.26,Pasang
2025-05-07 10:00:00,-0.27,Surut
2025-05-07 18:30:00,0.44,Pasang
2025-05-08 02:20:00,-0.30,Surut
2025-05-08 08:20:00,-0.14,Pasang
2025-05-08 11:50:00,-0.23,Surut
2025-05-08 19:00:00,0.33,Pasang
2025-05-09 02:10:00,-0.29,Surut
2025-05-09 08:30:00,-0.00,Pasang
2025-05-09 13:10:00,-0.22,Surut
2025-05-09 19:30:00,0.21,Pasang
2025-05-10 02:00:00,-0.31,Surut
2025-05-10 08:40:00,0.13,Pasang
2025-05-10 14:20:00,-0.23,Surut
2025-05-10 19:50:00,0.08,Pasang
2025-05-11 02:00:00,-0.37,Surut
2025-05-11 09:00:00,0.27,Pasang
2025-05-11 15:10:00,-0.24,Surut
2025-05-11 19:50:00,-0.03,Pasang
2025-05-12 02:20:00,-0.43,Surut
2025-05-12 09:30:00,0.38,Pasang
2025-05-12 16:00:00,-0.25,Surut
2025-05-12 19:30:00,-0.13,Pasang
2025-05-13 02:30:00,-0.50,Surut
2025-05-13 10:00:00,0.47,Pasang
2025-05-13 16:40:00,-0.26,Surut
2025-05-13 19:30:00,-0.20,Pasang
2025-05-14 02:50:00,-0.56,Surut
2025-05-14 10:30:00,0.54,Pasang
2025-05-14 17:30:00,-0.27,Surut
2025-05-14 19:30:00,-0.25,Pasang
2025-05-15 03:10:00,-0.61,Surut
2025-05-15 11:10:00,0.59,Pasang
2025-05-15 18:50:00,-0.27,Surut
2025-05-15 19:10:00,-0.27,Pasang
2025-05-16 03:30:00,-0.65,Surut
2025-05-16 11:50:00,0.62,Pasang
2025-05-17 03:50:00,-0.66,Surut
2025-05-17 12:40:00,0.62,Pasang
2025-05-18 04:10:00,-0.65,Surut
2025-05-18 13:30:00,0.61,Pasang
2025-05-19 04:20:00,-0.62,Surut
2025-05-19 14:30:00,0.59,Pasang
2025-05-20 03:40:00,-0.57,Surut
2025-05-20 15:40:00,0.57,Pasang
2025-05-21 03:40:00,-0.50,Surut
2025-05-21 16:40:00,0.53,Pasang
2025-05-22 03:10:00,-0.39,Surut
2025-05-22 07:20:00,-0.33,Pasang
2025-05-22 09:00:00,-0.34,Surut
2025-05-22 17:40:00,0.46,Pasang
2025-05-23 01:10:00,-0.34,Surut
2025-05-23 07:10:00,-0.17,Pasang
2025-05-23 11:20:00,-0.31,Surut
2025-05-23 18:30:00,0.34,Pasang
2025-05-24 01:10:00,-0.35,Surut
2025-05-24 07:30:00,0.04,Pasang
2025-05-24 12:50:00,-0.33,Surut
2025-05-24 19:00:00,0.18,Pasang
2025-05-25 01:20:00,-0.40,Surut
2025-05-25 08:10:00,0.27,Pasang
2025-05-25 14:10:00,-0.36,Surut
2025-05-25 19:20:00,-0.02,Pasang
2025-05-26 01:40:00,-0.49,Surut
2025-05-26 08:50:00,0.49,Pasang
2025-05-26 15:30:00,-0.38,Surut
2025-05-26 19:10:00,-0.19,Pasang
2025-05-27 02:00:00,-0.59,Surut
2025-05-27 09:30:00,0.68,Pasang
2025-05-27 16:40:00,-0.38,Surut
2025-05-27 19:10:00,-0.31,Pasang
2025-05-28 02:30:00,-0.70,Surut
2025-05-28 10:20:00,0.80,Pasang
2025-05-28 18:00:00,-0.37,Surut
2025-05-28 19:00:00,-0.37,Pasang
2025-05-29 03:00:00,-0.77,Surut
2025-05-29 11:20:00,0.86,Pasang
2025-05-30 03:40:00,-0.80,Surut
2025-05-30 12:10:00,0.86,Pasang
2025-05-31 04:20:00,-0.78,Surut
2025-05-31 13:10:00,0.81,Pasang
2025-06-01 05:00:00,-0.71,Surut
2025-06-01 14:00:00,0.73,Pasang
2025-06-02 05:30:00,-0.61,Surut
2025-06-02 15:00:00,0.64,Pasang
2025-06-03 05:50:00,-0.49,Surut
2025-06-03 15:40:00,0.53,Pasang
2025-06-04 02:50:00,-0.38,Surut
2025-06-04 16:30:00,0.41,Pasang
2025-06-05 01:00:00,-0.32,Surut
2025-06-05 07:40:00,-0.20,Pasang
2025-06-05 08:40:00,-0.20,Surut
2025-06-05 17:00:00,0.28,Pasang
2025-06-06 00:50:00,-0.33,Surut
2025-06-06 07:40:00,-0.05,Pasang
2025-06-06 11:20:00,-0.11,Surut
2025-06-06 17:30:00,0.14,Pasang
2025-06-07 00:50:00,-0.36,Surut
2025-06-07 08:00:00,0.10,Pasang
2025-06-07 13:30:00,-0.11,Surut
2025-06-07 17:40:00,0.00,Pasang
2025-06-08 00:50:00,-0.42,Surut
2025-06-08 08:20:00,0.25,Pasang
2025-06-08 14:50:00,-0.15,Surut
2025-06-08 17:40:00,-0.11,Pasang
2025-06-09 01:10:00,-0.50,Surut
2025-06-09 08:50:00,0.37,Pasang
2025-06-09 16:00:00,-0.21,Surut
2025-06-09 17:30:00,-0.20,Pasang
2025-06-10 01:30:00,-0.57,Surut
2025-06-10 09:20:00,0.48,Pasang
2025-06-11 02:00:00,-0.63,Surut
2025-06-11 09:50:00,0.57,Pasang
2025-06-12 02:30:00,-0.69,Surut
2025-06-12 10:30:00,0.63,Pasang
2025-06-13 03:00:00,-0.73,Surut
2025-06-13 11:00:00,0.68,Pasang
2025-06-14 03:30:00,-0.74,Surut
2025-06-14 11:50:00,0.70,Pasang
2025-06-15 04:10:00,-0.74,Surut
2025-06-15 12:30:00,0.69,Pasang
2025-06-16 04:40:00,-0.70,Surut
2025-06-16 13:20:00,0.67,Pasang
2025-06-17 05:30:00,-0.64,Surut
2025-06-17 14:20:00,0.62,Pasang
2025-06-18 06:20:00,-0.54,Surut
2025-06-18 15:10:00,0.54,Pasang
2025-06-19 03:10:00,-0.35,Surut
2025-06-19 03:50:00,-0.35,Pasang
2025-06-19 07:30:00,-0.41,Surut
2025-06-19 16:00:00,0.42,Pasang
2025-06-19 23:20:00,-0.32,Surut
2025-06-20 05:20:00,-0.19,Pasang
2025-06-20 09:20:00,-0.29,Surut
2025-06-20 16:40:00,0.27,Pasang
2025-06-20 23:30:00,-0.36,Surut
2025-06-21 06:20:00,0.01,Pasang
2025-06-21 11:30:00,-0.23,Surut
2025-06-21 17:10:00,0.08,Pasang
2025-06-21 23:50:00,-0.42,Surut
2025-06-22 07:10:00,0.23,Pasang
2025-06-22 13:20:00,-0.25,Surut
2025-06-22 17:20:00,-0.11,Pasang
2025-06-23 00:20:00,-0.51,Surut
2025-06-23 08:00:00,0.45,Pasang
2025-06-23 15:00:00,-0.31,Surut
2025-06-23 17:20:00,-0.27,Pasang
2025-06-24 00:50:00,-0.62,Surut
2025-06-24 08:40:00,0.64,Pasang
2025-06-24 16:30:00,-0.37,Surut
2025-06-24 17:20:00,-0.37,Pasang
2025-06-25 01:30:00,-0.73,Surut
2025-06-25 09:30:00,0.78,Pasang
2025-06-26 02:10:00,-0.81,Surut
2025-06-26 10:30:00,0.86,Pasang
2025-06-27 03:00:00,-0.86,Surut
2025-06-27 11:20:00,0.88,Pasang
2025-06-28 03:40:00,-0.86,Surut
2025-06-28 12:00:00,0.85,Pasang
2025-06-29 04:30:00,-0.82,Surut
2025-06-29 12:50:00,0.79,Pasang
2025-06-30 05:10:00,-0.72,Surut
2025-06-30 13:30:00,0.69,Pasang
2025-07-01 05:50:00,-0.60,Surut
2025-07-01 14:10:00,0.57,Pasang
2025-07-02 06:20:00,-0.45,Surut
2025-07-02 14:50:00,0.43,Pasang
2025-07-02 22:40:00,-0.28,Surut
2025-07-03 03:30:00,-0.23,Pasang
2025-07-03 07:00:00,-0.29,Surut
2025-07-03 15:10:00,0.28,Pasang
2025-07-03 22:40:00,-0.31,Surut
2025-07-04 05:10:00,-0.10,Pasang
2025-07-04 08:20:00,-0.13,Surut
2025-07-04 15:30:00,0.13,Pasang
2025-07-04 22:50:00,-0.36,Surut
2025-07-05 06:30:00,0.05,Pasang
2025-07-05 11:40:00,-0.04,Surut
2025-07-05 15:20:00,-0.02,Pasang
2025-07-05 23:20:00,-0.43,Surut
2025-07-06 07:10:00,0.19,Pasang
2025-07-06 23:50:00,-0.50,Surut
2025-07-07 07:50:00,0.33,Pasang
2025-07-08 00:20:00,-0.57,Surut
2025-07-08 08:30:00,0.45,Pasang
2025-07-09 01:00:00,-0.63,Surut
2025-07-09 09:00:00,0.55,Pasang
2025-07-10 01:40:00,-0.69,Surut
2025-07-10 09:40:00,0.63,Pasang
2025-07-11 02:20:00,-0.75,Surut
2025-07-11 10:20:00,0.70,Pasang
2025-07-12 03:00:00,-0.78,Surut
2025-07-12 11:00:00,0.73,Pasang
2025-07-12 11:00:00,0.73,Pasang
2025-07-12 23:50:00,-0.55,Surut
2025-07-13 03:40:00,-0.80,Surut
2025-07-13 03:40:00,-0.80,Surut
2025-07-13 11:40:00,0.74,Pasang
2025-07-13 11:40:00,0.74,Pasang
2025-07-13 19:00:00,-0.31,Surut
2025-07-13 19:00:00,-0.31,Surut
2025-07-13 20:00:00,-0.31,Pasang
2025-07-13 20:00:00,-0.31,Pasang
2025-07-14 04:20:00,-0.78,Surut
2025-07-14 04:20:00,-0.78,Surut
2025-07-14 12:30:00,0.71,Pasang
2025-07-14 12:30:00,0.71,Pasang
2025-07-14 19:20:00,-0.29,Surut
2025-07-14 19:20:00,-0.29,Surut
2025-07-14 21:00:00,-0.27,Pasang
2025-07-14 21:00:00,-0.27,Pasang
2025-07-15 05:00:00,-0.72,Surut
2025-07-15 05:00:00,-0.72,Surut
2025-07-15 13:10:00,0.65,Pasang
2025-07-15 13:10:00,0.65,Pasang
2025-07-15 19:50:00,-0.27,Surut
2025-07-15 19:50:00,-0.27,Surut
2025-07-15 22:10:00,-0.23,Pasang
2025-07-15 22:10:00,-0.23,Pasang
2025-07-16 05:50:00,-0.62,Surut
2025-07-16 05:50:00,-0.62,Surut
2025-07-16 14:00:00,0.54,Pasang
2025-07-16 14:00:00,0.54,Pasang
2025-07-16 20:20:00,-0.28,Surut
2025-07-16 20:20:00,-0.28,Surut
2025-07-16 23:40:00,-0.20,Pasang
2025-07-16 23:40:00,-0.20,Pasang
2025-07-17 06:40:00,-0.49,Surut
2025-07-17 06:40:00,-0.49,Surut
2025-07-17 14:30:00,0.39,Pasang
2025-07-17 14:30:00,0.39,Pasang
2025-07-17 20:50:00,-0.30,Surut
2025-07-17 20:50:00,-0.30,Surut
2025-07-17 23:50:00,-0.18,Pasang
2025-07-18 03:10:00,-0.11,Pasang
2025-07-18 03:10:00,-0.11,Pasang
2025-07-18 07:50:00,-0.33,Surut
2025-07-18 07:50:00,-0.33,Surut
2025-07-18 15:10:00,0.21,Pasang
2025-07-18 15:10:00,0.21,Pasang
2025-07-18 21:30:00,-0.35,Surut
2025-07-18 21:30:00,-0.35,Surut
2025-07-19 04:30:00,0.04,Pasang
2025-07-19 04:30:00,0.04,Pasang
2025-07-19 09:50:00,-0.19,Surut
2025-07-19 09:50:00,-0.19,Surut
2025-07-19 15:10:00,0.01,Pasang
2025-07-19 15:10:00,0.01,Pasang
2025-07-19 22:00:00,-0.42,Surut
2025-07-19 22:00:00,-0.42,Surut
2025-07-20 05:50:00,0.22,Pasang
2025-07-20 05:50:00,0.22,Pasang
2025-07-20 12:40:00,-0.18,Surut
2025-07-20 12:40:00,-0.18,Surut
2025-07-20 14:50:00,-0.16,Pasang
2025-07-20 14:50:00,-0.16,Pasang
2025-07-20 22:40:00,-0.50,Surut
2025-07-20 22:40:00,-0.50,Surut
2025-07-21 06:50:00,0.42,Pasang
2025-07-21 06:50:00,0.42,Pasang
2025-07-21 23:20:00,-0.59,Surut
2025-07-21 23:20:00,-0.59,Surut
2025-07-22 07:50:00,0.59,Pasang
2025-07-22 07:50:00,0.59,Pasang
2025-07-22 23:50:00,-0.68,Surut
2025-07-23 00:10:00,-0.69,Pasang
2025-07-23 00:20:00,-0.69,Surut
2025-07-23 00:20:00,-0.69,Surut
2025-07-23 08:40:00,0.73,Pasang
2025-07-23 08:40:00,0.73,Pasang
2025-07-23 23:50:00,-0.72,Surut
2025-07-24 01:20:00,-0.78,Surut
2025-07-24 01:20:00,-0.78,Surut
2025-07-24 09:30:00,0.82,Pasang
2025-07-24 09:30:00,0.82,Pasang
2025-07-25 02:10:00,-0.84,Surut
2025-07-25 02:10:00,-0.84,Surut
2025-07-25 10:20:00,0.85,Pasang
2025-07-25 10:20:00,0.85,Pasang
2025-07-26 03:00:00,-0.87,Surut
2025-07-26 03:00:00,-0.87,Surut
2025-07-26 11:10:00,0.84,Pasang
2025-07-26 11:10:00,0.84,Pasang
2025-07-26 18:50:00,-0.33,Surut
2025-07-26 18:50:00,-0.33,Surut
2025-07-26 19:10:00,-0.33,Pasang
2025-07-26 19:10:00,-0.33,Pasang
2025-07-27 03:50:00,-0.85,Surut
2025-07-27 03:50:00,-0.85,Surut
2025-07-27 11:50:00,0.78,Pasang
2025-07-27 11:50:00,0.78,Pasang
2025-07-27 18:50:00,-0.28,Surut
2025-07-27 18:50:00,-0.28,Surut
2025-07-27 20:30:00,-0.26,Pasang
2025-07-27 20:30:00,-0.26,Pasang
2025-07-28 04:30:00,-0.78,Surut
2025-07-28 04:30:00,-0.78,Surut
2025-07-28 12:20:00,0.68,Pasang
2025-07-28 12:20:00,0.68,Pasang
2025-07-28 19:00:00,-0.26,Surut
2025-07-28 19:00:00,-0.26,Surut
2025-07-28 21:30:00,-0.21,Pasang
2025-07-28 21:30:00,-0.21,Pasang
2025-07-29 05:00:00,-0.67,Surut
2025-07-29 05:00:00,-0.67,Surut
2025-07-29 13:00:00,0.56,Pasang
2025-07-29 13:00:00,0.56,Pasang
2025-07-29 19:20:00,-0.26,Surut
2025-07-29 19:20:00,-0.26,Surut
2025-07-29 22:40:00,-0.17,Pasang
2025-07-29 22:40:00,-0.17,Pasang
2025-07-30 05:40:00,-0.52,Surut
2025-07-30 05:40:00,-0.52,Surut
2025-07-30 13:20:00,0.42,Pasang
2025-07-30 13:20:00,0.42,Pasang
2025-07-30 19:40:00,-0.28,Surut
2025-07-30 19:40:00,-0.28,Surut
2025-07-30 23:50:00,-0.13,Pasang
2025-07-31 01:00:00,-0.12,Pasang
2025-07-31 01:00:00,-0.12,Pasang
2025-07-31 06:20:00,-0.37,Surut
2025-07-31 06:20:00,-0.37,Surut
2025-07-31 13:50:00,0.27,Pasang
2025-07-31 13:50:00,0.27,Pasang
2025-07-31 20:10:00,-0.31,Surut
2025-07-31 20:10:00,-0.31,Surut
2025-08-01 02:40:00,-0.05,Pasang
2025-08-01 02:40:00,-0.05,Pasang
2025-08-01 07:00:00,-0.21,Surut
2025-08-01 07:00:00,-0.21,Surut
2025-08-01 13:50:00,0.12,Pasang
2025-08-01 13:50:00,0.12,Pasang
2025-08-01 20:30:00,-0.36,Surut
2025-08-01 20:30:00,-0.36,Surut
2025-08-02 03:50:00,0.04,Pasang
2025-08-02 03:50:00,0.04,Pasang
2025-08-02 08:30:00,-0.07,Surut
2025-08-02 08:30:00,-0.07,Surut
2025-08-02 12:40:00,-0.01,Pasang
2025-08-02 12:40:00,-0.01,Pasang
2025-08-02 21:00:00,-0.40,Surut
2025-08-02 21:00:00,-0.40,Surut
2025-08-03 05:10:00,0.15,Pasang
2025-08-03 05:10:00,0.15,Pasang
2025-08-03 21:40:00,-0.46,Surut
2025-08-03 21:40:00,-0.46,Surut
2025-08-04 06:20:00,0.27,Pasang
2025-08-04 06:20:00,0.27,Pasang
2025-08-04 22:30:00,-0.51,Surut
2025-08-04 22:30:00,-0.51,Surut
2025-08-05 07:20:00,0.40,Pasang
2025-08-05 07:20:00,0.40,Pasang
2025-08-05 23:40:00,-0.56,Surut
2025-08-05 23:40:00,-0.56,Surut
2025-08-06 08:00:00,0.51,Pasang
2025-08-06 08:00:00,0.51,Pasang
2025-08-06 23:50:00,-0.60,Surut
2025-08-07 00:10:00,-0.61,Pasang
2025-08-07 00:40:00,-0.62,Surut
2025-08-07 00:40:00,-0.62,Surut
2025-08-07 08:40:00,0.61,Pasang
2025-08-07 08:40:00,0.61,Pasang
2025-08-07 23:50:00,-0.61,Surut
