Waktu,Ketinggian (m),Jenis
2025-05-07 00:10:00,-0.03,Surut
2025-05-07 06:20:00,0.35,Pasang
2025-05-07 13:10:00,-0.34,Surut
2025-05-07 19:30:00,0.36,Pasang
2025-05-08 01:20:00,-0.16,Surut
2025-05-08 07:10:00,0.37,Pasang
2025-05-08 13:40:00,-0.37,Surut
2025-05-08 19:50:00,0.51,Pasang
2025-05-09 02:10:00,-0.29,Surut
2025-05-09 08:00:00,0.39,Pasang
2025-05-09 14:00:00,-0.39,Surut
2025-05-09 20:20:00,0.63,Pasang
2025-05-10 02:40:00,-0.41,Surut
2025-05-10 08:30:00,0.38,Pasang
2025-05-10 14:20:00,-0.41,Surut
2025-05-10 20:40:00,0.73,Pasang
2025-05-11 03:20:00,-0.50,Surut
2025-05-11 09:00:00,0.36,Pasang
2025-05-11 14:40:00,-0.43,Surut
2025-05-11 21:00:00,0.80,Pasang
2025-05-12 03:50:00,-0.56,Surut
2025-05-12 09:30:00,0.33,Pasang
2025-05-12 15:00:00,-0.45,Surut
2025-05-12 21:30:00,0.84,Pasang
2025-05-13 04:20:00,-0.59,Surut
2025-05-13 10:00:00,0.28,Pasang
2025-05-13 15:20:00,-0.45,Surut
2025-05-13 21:50:00,0.85,Pasang
2025-05-14 04:50:00,-0.60,Surut
2025-05-14 10:30:00,0.23,Pasang
2025-05-14 15:40:00,-0.45,Surut
2025-05-14 22:20:00,0.84,Pasang
2025-05-15 05:20:00,-0.57,Surut
2025-05-15 11:00:00,0.17,Pasang
2025-05-15 16:00:00,-0.43,Surut
2025-05-15 22:40:00,0.80,Pasang
2025-05-16 05:50:00,-0.51,Surut
2025-05-16 11:20:00,0.11,Pasang
2025-05-16 16:20:00,-0.39,Surut
2025-05-16 23:10:00,0.75,Pasang
2025-05-17 06:20:00,-0.42,Surut
2025-05-17 12:00:00,0.05,Pasang
2025-05-17 16:50:00,-0.34,Surut
2025-05-17 23:50:00,0.67,Pasang
2025-05-18 07:10:00,-0.33,Surut
2025-05-18 12:30:00,-0.01,Pasang
2025-05-18 17:10:00,-0.26,Surut
2025-05-19 00:30:00,0.57,Pasang
2025-05-19 08:20:00,-0.25,Surut
2025-05-19 13:40:00,-0.04,Pasang
2025-05-19 17:40:00,-0.15,Surut
2025-05-20 01:20:00,0.46,Pasang
2025-05-20 10:00:00,-0.22,Surut
2025-05-20 16:20:00,0.01,Pasang
2025-05-20 19:20:00,-0.02,Surut
2025-05-21 03:10:00,0.37,Pasang
2025-05-21 11:20:00,-0.25,Surut
2025-05-21 17:50:00,0.17,Pasang
2025-05-21 22:50:00,-0.00,Surut
2025-05-22 05:10:00,0.34,Pasang
2025-05-22 12:10:00,-0.30,Surut
2025-05-22 18:30:00,0.37,Pasang
2025-05-23 00:40:00,-0.14,Surut
2025-05-23 06:20:00,0.36,Pasang
2025-05-23 12:50:00,-0.35,Surut
2025-05-23 19:10:00,0.58,Pasang
2025-05-24 01:40:00,-0.32,Surut
2025-05-24 07:20:00,0.36,Pasang
2025-05-24 13:20:00,-0.40,Surut
2025-05-24 19:40:00,0.77,Pasang
2025-05-25 02:30:00,-0.48,Surut
2025-05-25 08:10:00,0.33,Pasang
2025-05-25 13:50:00,-0.44,Surut
2025-05-25 20:20:00,0.92,Pasang
2025-05-26 03:20:00,-0.61,Surut
2025-05-26 09:00:00,0.28,Pasang
2025-05-26 14:20:00,-0.47,Surut
2025-05-26 21:00:00,1.02,Pasang
2025-05-27 04:10:00,-0.68,Surut
2025-05-27 09:40:00,0.22,Pasang
2025-05-27 14:50:00,-0.48,Surut
2025-05-27 21:40:00,1.05,Pasang
2025-05-28 04:50:00,-0.69,Surut
2025-05-28 10:20:00,0.16,Pasang
2025-05-28 15:30:00,-0.48,Surut
2025-05-28 22:20:00,1.02,Pasang
2025-05-29 05:40:00,-0.65,Surut
2025-05-29 11:10:00,0.10,Pasang
2025-05-29 16:00:00,-0.45,Surut
2025-05-29 23:00:00,0.94,Pasang
2025-05-30 06:30:00,-0.57,Surut
2025-05-30 11:50:00,0.06,Pasang
2025-05-30 16:40:00,-0.40,Surut
2025-05-30 23:40:00,0.83,Pasang
2025-05-31 07:10:00,-0.49,Surut
2025-05-31 12:30:00,0.04,Pasang
2025-05-31 17:20:00,-0.31,Surut
2025-06-01 00:20:00,0.69,Pasang
2025-06-01 08:00:00,-0.41,Surut
2025-06-01 13:30:00,0.04,Pasang
2025-06-01 18:00:00,-0.21,Surut
2025-06-02 01:00:00,0.55,Pasang
2025-06-02 08:50:00,-0.34,Surut
2025-06-02 14:40:00,0.07,Pasang
2025-06-02 19:00:00,-0.10,Surut
2025-06-03 02:00:00,0.42,Pasang
2025-06-03 09:50:00,-0.30,Surut
2025-06-03 16:10:00,0.14,Pasang
2025-06-03 21:00:00,-0.02,Surut
2025-06-04 03:10:00,0.29,Pasang
2025-06-04 10:50:00,-0.27,Surut
2025-06-04 17:20:00,0.25,Pasang
2025-06-04 23:10:00,-0.04,Surut
2025-06-05 04:50:00,0.20,Pasang
2025-06-05 11:40:00,-0.26,Surut
2025-06-05 18:20:00,0.37,Pasang
2025-06-06 00:50:00,-0.14,Surut
2025-06-06 06:20:00,0.17,Pasang
2025-06-06 12:20:00,-0.27,Surut
2025-06-06 19:00:00,0.49,Pasang
2025-06-07 01:50:00,-0.27,Surut
2025-06-07 07:20:00,0.15,Pasang
2025-06-07 13:00:00,-0.28,Surut
2025-06-07 19:30:00,0.59,Pasang
2025-06-08 02:30:00,-0.39,Surut
2025-06-08 08:10:00,0.15,Pasang
2025-06-08 13:30:00,-0.31,Surut
2025-06-08 20:00:00,0.68,Pasang
2025-06-09 03:10:00,-0.50,Surut
2025-06-09 08:50:00,0.14,Pasang
2025-06-09 14:00:00,-0.34,Surut
2025-06-09 20:30:00,0.74,Pasang
2025-06-10 03:40:00,-0.57,Surut
2025-06-10 09:30:00,0.13,Pasang
2025-06-10 14:30:00,-0.36,Surut
2025-06-10 21:00:00,0.78,Pasang
2025-06-11 04:20:00,-0.61,Surut
2025-06-11 10:00:00,0.12,Pasang
2025-06-11 15:00:00,-0.38,Surut
2025-06-11 21:30:00,0.80,Pasang
2025-06-12 04:50:00,-0.62,Surut
2025-06-12 10:30:00,0.11,Pasang
2025-06-12 15:20:00,-0.39,Surut
2025-06-12 22:10:00,0.81,Pasang
2025-06-13 05:20:00,-0.60,Surut
2025-06-13 11:00:00,0.09,Pasang
2025-06-13 15:50:00,-0.39,Surut
2025-06-13 22:40:00,0.79,Pasang
2025-06-14 05:50:00,-0.55,Surut
2025-06-14 11:30:00,0.08,Pasang
2025-06-14 16:30:00,-0.37,Surut
2025-06-14 23:20:00,0.75,Pasang
2025-06-15 06:30:00,-0.48,Surut
2025-06-15 12:10:00,0.08,Pasang
2025-06-15 17:00:00,-0.32,Surut
2025-06-15 23:50:00,0.68,Pasang
2025-06-16 07:10:00,-0.42,Surut
2025-06-16 12:50:00,0.09,Pasang
2025-06-16 17:40:00,-0.26,Surut
2025-06-17 00:40:00,0.59,Pasang
2025-06-17 07:50:00,-0.36,Surut
2025-06-17 13:50:00,0.12,Pasang
2025-06-17 18:40:00,-0.17,Surut
2025-06-18 01:30:00,0.48,Pasang
2025-06-18 08:40:00,-0.32,Surut
2025-06-18 15:00:00,0.19,Pasang
2025-06-18 20:10:00,-0.09,Surut
2025-06-19 02:30:00,0.35,Pasang
2025-06-19 09:30:00,-0.30,Surut
2025-06-19 16:10:00,0.30,Pasang
2025-06-19 22:20:00,-0.09,Surut
2025-06-20 04:00:00,0.22,Pasang
2025-06-20 10:30:00,-0.30,Surut
2025-06-20 17:20:00,0.45,Pasang
2025-06-21 00:10:00,-0.18,Surut
2025-06-21 05:30:00,0.13,Pasang
2025-06-21 11:20:00,-0.31,Surut
2025-06-21 18:20:00,0.60,Pasang
2025-06-22 01:40:00,-0.34,Surut
2025-06-22 06:50:00,0.07,Pasang
2025-06-22 12:10:00,-0.33,Surut
2025-06-22 19:10:00,0.74,Pasang
2025-06-23 02:40:00,-0.49,Surut
2025-06-23 08:00:00,0.05,Pasang
2025-06-23 13:00:00,-0.35,Surut
2025-06-23 20:00:00,0.86,Pasang
2025-06-24 03:30:00,-0.61,Surut
2025-06-24 09:00:00,0.05,Pasang
2025-06-24 13:50:00,-0.38,Surut
2025-06-24 20:40:00,0.93,Pasang
2025-06-25 04:20:00,-0.69,Surut
2025-06-25 09:50:00,0.06,Pasang
2025-06-25 14:40:00,-0.41,Surut
2025-06-25 21:30:00,0.96,Pasang
2025-06-26 05:00:00,-0.71,Surut
2025-06-26 10:30:00,0.08,Pasang
2025-06-26 15:20:00,-0.42,Surut
2025-06-26 22:10:00,0.94,Pasang
2025-06-27 05:40:00,-0.69,Surut
2025-06-27 11:10:00,0.11,Pasang
2025-06-27 16:10:00,-0.42,Surut
2025-06-27 23:00:00,0.89,Pasang
2025-06-28 06:20:00,-0.64,Surut
2025-06-28 11:50:00,0.14,Pasang
2025-06-28 16:50:00,-0.39,Surut
2025-06-28 23:30:00,0.81,Pasang
2025-06-29 06:50:00,-0.58,Surut
2025-06-29 12:30:00,0.18,Pasang
2025-06-29 17:30:00,-0.33,Surut
2025-06-30 00:10:00,0.70,Pasang
2025-06-30 07:20:00,-0.51,Surut
2025-06-30 13:10:00,0.22,Pasang
2025-06-30 18:10:00,-0.26,Surut
2025-07-01 00:40:00,0.57,Pasang
2025-07-01 07:40:00,-0.44,Surut
2025-07-01 13:50:00,0.25,Pasang
2025-07-01 19:00:00,-0.18,Surut
2025-07-02 01:20:00,0.43,Pasang
2025-07-02 08:10:00,-0.37,Surut
2025-07-02 14:40:00,0.28,Pasang
2025-07-02 20:10:00,-0.10,Surut
2025-07-03 02:00:00,0.28,Pasang
2025-07-03 08:40:00,-0.31,Surut
2025-07-03 15:40:00,0.31,Pasang
2025-07-03 21:50:00,-0.06,Surut
2025-07-04 02:50:00,0.12,Pasang
2025-07-04 09:20:00,-0.25,Surut
2025-07-04 16:40:00,0.35,Pasang
2025-07-05 00:00:00,-0.12,Surut
2025-07-05 04:30:00,-0.02,Pasang
2025-07-05 10:20:00,-0.21,Surut
2025-07-05 17:50:00,0.42,Pasang
2025-07-06 01:50:00,-0.24,Surut
2025-07-06 07:00:00,-0.07,Pasang
2025-07-06 11:40:00,-0.19,Surut
2025-07-06 18:50:00,0.49,Pasang
2025-07-07 02:40:00,-0.38,Surut
2025-07-07 08:20:00,-0.04,Pasang
2025-07-07 12:40:00,-0.21,Surut
2025-07-07 19:40:00,0.57,Pasang
2025-07-08 03:20:00,-0.49,Surut
2025-07-08 09:10:00,-0.00,Pasang
2025-07-08 13:30:00,-0.24,Surut
2025-07-08 20:20:00,0.65,Pasang
2025-07-09 03:50:00,-0.58,Surut
2025-07-09 09:40:00,0.04,Pasang
2025-07-09 14:10:00,-0.29,Surut
2025-07-09 20:50:00,0.72,Pasang
2025-07-10 04:20:00,-0.64,Surut
2025-07-10 10:10:00,0.07,Pasang
2025-07-10 14:50:00,-0.33,Surut
2025-07-10 21:30:00,0.78,Pasang
2025-07-11 04:50:00,-0.66,Surut
2025-07-11 10:30:00,0.11,Pasang
2025-07-11 15:20:00,-0.37,Surut
2025-07-11 22:10:00,0.81,Pasang
2025-07-12 05:20:00,-0.65,Surut
2025-07-12 11:00:00,0.15,Pasang
2025-07-12 16:00:00,-0.40,Surut
2025-07-12 22:40:00,0.82,Pasang
2025-07-13 05:50:00,-0.61,Surut
2025-07-13 11:30:00,0.19,Pasang
2025-07-13 16:40:00,-0.40,Surut
2025-07-13 23:20:00,0.79,Pasang
2025-07-14 06:10:00,-0.56,Surut
2025-07-14 12:10:00,0.24,Pasang
2025-07-14 17:20:00,-0.38,Surut
2025-07-14 23:50:00,0.72,Pasang
2025-07-15 06:40:00,-0.51,Surut
2025-07-15 12:40:00,0.29,Pasang
2025-07-15 18:00:00,-0.33,Surut
2025-07-16 00:30:00,0.61,Pasang
2025-07-16 07:10:00,-0.47,Surut
2025-07-16 13:20:00,0.35,Pasang
2025-07-16 18:50:00,-0.26,Surut
2025-07-17 01:10:00,0.46,Pasang
2025-07-17 07:30:00,-0.43,Surut
2025-07-17 14:10:00,0.40,Pasang
2025-07-17 20:00:00,-0.18,Surut
2025-07-18 01:50:00,0.28,Pasang
2025-07-18 08:10:00,-0.39,Surut
2025-07-18 15:00:00,0.44,Pasang
2025-07-18 21:40:00,-0.14,Surut
2025-07-19 02:40:00,0.08,Pasang
2025-07-19 08:40:00,-0.34,Surut
2025-07-19 16:10:00,0.49,Pasang
2025-07-20 00:10:00,-0.19,Surut
2025-07-20 04:20:00,-0.09,Pasang
2025-07-20 09:40:00,-0.28,Surut
2025-07-20 17:40:00,0.55,Pasang
2025-07-21 02:10:00,-0.35,Surut
2025-07-21 07:10:00,-0.15,Pasang
2025-07-21 11:10:00,-0.24,Surut
2025-07-21 18:50:00,0.65,Pasang
2025-07-22 03:10:00,-0.51,Surut
2025-07-22 08:40:00,-0.09,Pasang
2025-07-22 12:40:00,-0.25,Surut
2025-07-22 20:00:00,0.75,Pasang
2025-07-23 03:50:00,-0.64,Surut
2025-07-23 09:30:00,-0.00,Pasang
2025-07-23 13:50:00,-0.31,Surut
2025-07-23 20:50:00,0.84,Pasang
2025-07-24 04:20:00,-0.71,Surut
2025-07-24 10:00:00,0.08,Pasang
2025-07-24 14:50:00,-0.37,Surut
2025-07-24 21:30:00,0.89,Pasang
2025-07-25 04:50:00,-0.73,Surut
2025-07-25 10:30:00,0.17,Pasang
2025-07-25 15:30:00,-0.42,Surut
2025-07-25 22:10:00,0.90,Pasang
2025-07-26 05:20:00,-0.72,Surut
2025-07-26 11:00:00,0.26,Pasang
2025-07-26 16:10:00,-0.45,Surut
2025-07-26 22:50:00,0.87,Pasang
2025-07-27 05:40:00,-0.68,Surut
2025-07-27 11:30:00,0.33,Pasang
2025-07-27 16:50:00,-0.44,Surut
2025-07-27 23:20:00,0.80,Pasang
2025-07-28 06:00:00,-0.63,Surut
2025-07-28 12:00:00,0.39,Pasang
2025-07-28 17:30:00,-0.40,Surut
2025-07-28 23:50:00,0.70,Pasang
2025-07-29 06:20:00,-0.57,Surut
2025-07-29 12:30:00,0.43,Pasang
2025-07-29 18:00:00,-0.34,Surut
2025-07-30 00:10:00,0.57,Pasang
2025-07-30 06:40:00,-0.51,Surut
2025-07-30 13:00:00,0.44,Pasang
2025-07-30 18:40:00,-0.27,Surut
2025-07-31 00:40:00,0.42,Pasang
2025-07-31 06:50:00,-0.45,Surut
2025-07-31 13:30:00,0.43,Pasang
2025-07-31 19:20:00,-0.19,Surut
2025-08-01 01:00:00,0.26,Pasang
2025-08-01 07:00:00,-0.38,Surut
2025-08-01 14:10:00,0.40,Pasang
2025-08-01 20:30:00,-0.11,Surut
2025-08-02 01:20:00,0.10,Pasang
2025-08-02 07:20:00,-0.32,Surut
2025-08-02 15:00:00,0.36,Pasang
2025-08-02 23:00:00,-0.09,Surut
2025-08-03 01:20:00,-0.07,Pasang
2025-08-03 07:10:00,-0.25,Surut
2025-08-03 16:20:00,0.34,Pasang
2025-08-04 03:30:00,-0.24,Surut
2025-08-04 18:10:00,0.38,Pasang
2025-08-05 03:00:00,-0.38,Surut
2025-08-05 09:30:00,-0.08,Pasang
2025-08-05 11:50:00,-0.10,Surut
2025-08-05 19:20:00,0.48,Pasang
2025-08-06 03:20:00,-0.49,Surut
2025-08-06 09:30:00,-0.00,Pasang
2025-08-06 13:20:00,-0.15,Surut
2025-08-06 20:10:00,0.60,Pasang
2025-08-07 03:40:00,-0.58,Surut
2025-08-07 09:40:00,0.08,Pasang
2025-08-07 14:10:00,-0.24,Surut
2025-08-07 20:50:00,0.71,Pasang
